baseline_seg,interf_seg,svid,sys,track_gap_sec,rc_gap_sec,track_lost,rc_lost,both_lost
无干扰 #3,4G/5G 干扰,BDS1,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #3,4G/5G 干扰,GAL18,GAL,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #3,4G/5G 干扰,GPS20,GPS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #3,4G/5G 干扰,BDS35,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #3,4G/5G 干扰,GAL4,GAL,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #3,4G/5G 干扰,BDS6,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #3,4G/5G 干扰,BDS34,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #3,4G/5G 干扰,BDS8,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #3,4G/5G 干扰,GPS21,GPS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #3,4G/5G 干扰,GLO96,GLO,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #3,4G/5G 干扰,GLO81,GLO,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #3,4G/5G 干扰,QZS390,QZS,0.20000000001164153,10.0,False,True,False
无干扰 #3,4G/5G 干扰,BDS21,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #3,4G/5G 干扰,BDS42,BDS,10.0,10.0,True,True,True
无干扰 #3,4G/5G 干扰,QZS199,QZS,10.0,0.20000000001164153,True,False,False
无干扰 #3,4G/5G 干扰,GPS5,GPS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GLO82,GLO,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,BDS2,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GLO97,GLO,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GPS30,GPS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,QZS385,QZS,0.20000000001164153,10.0,False,True,False
无干扰 #4,Wi-Fi 干扰,GPS11,GPS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GAL36,GAL,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,BDS14,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GLO95,GLO,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,QZS194,QZS,10.0,0.20000000001164153,True,False,False
无干扰 #4,Wi-Fi 干扰,QZS386,QZS,0.20000000001164153,10.0,False,True,False
无干扰 #4,Wi-Fi 干扰,GPS29,GPS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,BDS3,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GLO75,GLO,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GAL6,GAL,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GAL10,GAL,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GPS15,GPS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GAL12,GAL,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,BDS9,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GAL11,GAL,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,QZS195,QZS,10.0,0.20000000001164153,True,False,False
无干扰 #4,Wi-Fi 干扰,GAL9,GAL,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,BDS4,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,BDS1,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GAL18,GAL,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GPS20,GPS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,BDS35,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GAL4,GAL,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,BDS6,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,BDS34,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,BDS8,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GPS21,GPS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,BDS7,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GLO96,GLO,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,GLO81,GLO,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,QZS390,QZS,0.20000000001164153,10.0,False,True,False
无干扰 #4,Wi-Fi 干扰,BDS21,BDS,0.20000000001164153,0.20000000001164153,False,False,False
无干扰 #4,Wi-Fi 干扰,QZS199,QZS,10.0,0.20000000001164153,True,False,False
无干扰 #4,Wi-Fi 干扰,GPS5,GPS,0.20000000001164153,0.20000000001164153,False,False,False
